student_id,lms_logins_per_week,assignment_submit_rate,avg_days_late,current_gpa,midterm_score,prior_gpa,credit_load,financial_aid_flag,first_gen_flag,commute_distance_mi,not_retained,major,term
101151,6.1,0.382,1.6,1.98,33.3,2.26,9,1,1,16.6,1,computer science,Fall 2025
107593,8.8,0.538,8.3,2.01,44.3,2.39,18,0,1,11.4,1,Psychology,Fall 2025
109385,9.5,0.834,0.5,3.39,84.3,3.65,9,1,0,21.3,0,History,Spring 2025
102185,5.2,0.473,1.1,2.07,43.4,2.6,15,1,0,8.9,1,Biology,Fall 2024
113617,6.9,0.876,0.0,3.28,61.6,3.81,15,1,1,6.5,0,Biology,Fall 2024
109117,7.9,0.618,3.8,2.83,76.4,2.9,15,0,0,5.9,0,Psychology,Fall 2025
104053,6.0,0.753,0.0,3.1,75.0,3.55,12,0,0,6.7,0,Psych,Fall 2024
101841,9.8,0.648,5.7,2.58,59.1,2.8,15,1,0,1.3,0,Comp Sci,Fall 2024
109286,1.9,0.457,2.7,1.85,34.1,2.13,12,1,1,1.0,1,History,Spring 2025
106138,8.7,0.951,1.1,2.93,78.8,3.4,12,1,0,0.6,0,History,Fall 2025
101748,8.5,0.64,0.0,3.06,68.6,3.23,12,0,0,4.8,1,Engineering,Fall 2025
109095,4.7,0.642,0.4,2.96,50.5,2.96,9,0,0,4.9,1,Comp Sci,Fall 2025
100843,3.5,0.506,2.7,2.4,51.7,2.65,15,1,0,5.8,0,Psych,Spring 2025
113227,5.4,0.774,0.5,3.17,70.8,3.44,15,1,0,3.5,0,Nursing,Spring 2025
111191,7.0,0.483,1.2,3.04,,3.03,9,0,0,9.0,1,BUS,Spring 2025
109567,2.8,0.628,2.7,2.86,65.4,2.45,12,0,1,8.0,0,Business,Fall 2025
100378,14.7,0.915,0.0,3.63,69.4,,15,1,0,13.1,0,Biology,Spring 2025
104699,8.1,0.832,0.0,3.35,77.8,3.34,6,0,1,9.6,0,Nursing,Spring 2025
113520,9.8,0.776,1.9,2.38,56.3,2.91,15,0,0,2.4,1,Biology,Spring 2025
105998,10.6,0.639,1.1,2.69,59.6,,15,0,1,4.6,0,Biology,Fall 2024
